;X;Results.reception.time;MD5.hash.of.participant.s.IP.address;Controller.name;Order.number.of.item;Inner.element.number;Label;Latin.Square.Group;PennElementType;PennElementName;Parameter;Value;EventTime;Sentence;Sound1;Sound2;List;Age;Gender;Language;AmEng;Comments;workerId;text_condition;utt;talker
1;1;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;3;0;intro;NULL;PennController;1;_Trial_;Start;1615531946781;NULL;;;;NA;;;;;NA;;;
2;2;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;3;0;intro;NULL;PennController;1;_Trial_;End;1615532019323;NULL;;;;NA;;;;;NA;;;
3;3;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;2;0;Angaben;NULL;PennController;0;_Trial_;Start;1615532019325;NULL;;;;NA;;;;;NA;;;
4;4;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;2;0;Angaben;NULL;PennController;0;_Trial_;End;1615532045312;NULL;;;;NA;;;;;NA;;;
5;5;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;8;0;experiment;NULL;PennController;7;_Trial_;Start;1615532045313;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;A1;P6
6;6;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;8;0;experiment;NULL;Audio;one;play;0;1615532066052;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;A1;P6
7;7;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;8;0;experiment;NULL;Audio;two;play;0;1615532070942;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;A1;P6
8;8;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;8;0;experiment;NULL;Scale;judgement;Choice;one;1615532075348;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;A1;P6
9;9;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;8;0;experiment;NULL;PennController;7;_Trial_;End;1615532077469;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;A1;P6
10;10;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;9;0;experiment;NULL;PennController;8;_Trial_;Start;1615532077470;Perhaps she was aware that he was unreliable.;P11-A-2-nc.mp3;P11-A-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A2;P1
11;11;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;9;0;experiment;NULL;Audio;one;play;0;1615532092994;Perhaps she was aware that he was unreliable.;P11-A-2-nc.mp3;P11-A-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A2;P1
12;12;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;9;0;experiment;NULL;Audio;two;play;0;1615532097908;Perhaps she was aware that he was unreliable.;P11-A-2-nc.mp3;P11-A-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A2;P1
13;13;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;9;0;experiment;NULL;Scale;judgement;Choice;one;1615532102866;Perhaps she was aware that he was unreliable.;P11-A-2-nc.mp3;P11-A-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A2;P1
14;14;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;9;0;experiment;NULL;PennController;8;_Trial_;End;1615532104465;Perhaps she was aware that he was unreliable.;P11-A-2-nc.mp3;P11-A-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A2;P1
15;15;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;13;0;experiment;NULL;PennController;12;_Trial_;Start;1615532104467;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C2;C2
16;16;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;13;0;experiment;NULL;Audio;one;play;0;1615532115550;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C2;C2
17;17;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;13;0;experiment;NULL;Audio;two;play;0;1615532120480;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C2;C2
18;18;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;13;0;experiment;NULL;Scale;judgement;Choice;two;1615532125592;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C2;C2
19;19;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;13;0;experiment;NULL;PennController;12;_Trial_;End;1615532126763;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C2;C2
20;20;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;10;0;experiment;NULL;PennController;9;_Trial_;Start;1615532126766;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K3;P4
21;21;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;10;0;experiment;NULL;Audio;one;play;0;1615532144283;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K3;P4
22;22;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;10;0;experiment;NULL;Audio;two;play;0;1615532147905;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K3;P4
23;23;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;10;0;experiment;NULL;Scale;judgement;Choice;two;1615532151613;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K3;P4
24;24;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;10;0;experiment;NULL;PennController;9;_Trial_;End;1615532153322;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K3;P4
25;25;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;7;0;experiment;NULL;PennController;6;_Trial_;Start;1615532153324;Perhaps she was aware that he had bad reviews.;P8-A-3-nc.mp3;P8-A-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A3;P8
26;26;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;7;0;experiment;NULL;Audio;one;play;0;1615532164659;Perhaps she was aware that he had bad reviews.;P8-A-3-nc.mp3;P8-A-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A3;P8
27;27;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;7;0;experiment;NULL;Audio;two;play;0;1615532168857;Perhaps she was aware that he had bad reviews.;P8-A-3-nc.mp3;P8-A-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A3;P8
28;28;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;7;0;experiment;NULL;Scale;judgement;Choice;two;1615532174062;Perhaps she was aware that he had bad reviews.;P8-A-3-nc.mp3;P8-A-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A3;P8
29;29;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;7;0;experiment;NULL;PennController;6;_Trial_;End;1615532175782;Perhaps she was aware that he had bad reviews.;P8-A-3-nc.mp3;P8-A-3-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;A3;P8
30;30;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;5;0;experiment;NULL;PennController;4;_Trial_;Start;1615532175785;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;N2;P1
31;31;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;5;0;experiment;NULL;Audio;one;play;0;1615532185921;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;N2;P1
32;32;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;5;0;experiment;NULL;Audio;two;play;0;1615532188525;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;N2;P1
33;33;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;5;0;experiment;NULL;Scale;judgement;Choice;two;1615532191915;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;N2;P1
34;34;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;5;0;experiment;NULL;PennController;4;_Trial_;End;1615532193038;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;N2;P1
35;35;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;6;0;experiment;NULL;PennController;5;_Trial_;Start;1615532193040;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K2;P1
36;36;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;6;0;experiment;NULL;Audio;one;play;0;1615532205722;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K2;P1
37;37;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;6;0;experiment;NULL;Audio;two;play;0;1615532208999;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K2;P1
38;38;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;6;0;experiment;NULL;Scale;judgement;Choice;two;1615532212683;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K2;P1
39;39;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;6;0;experiment;NULL;PennController;5;_Trial_;End;1615532214046;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1B;48;male;english;yes;NULL;8d81e2c5;c;K2;P1
40;40;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;14;0;experiment;NULL;PennController;13;_Trial_;Start;1615532214048;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C3;C3
41;41;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;14;0;experiment;NULL;Audio;one;play;0;1615532225070;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C3;C3
42;42;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;14;0;experiment;NULL;Audio;two;play;0;1615532228635;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C3;C3
43;43;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;14;0;experiment;NULL;Scale;judgement;Choice;two;1615532231606;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C3;C3
44;44;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;14;0;experiment;NULL;PennController;13;_Trial_;End;1615532232907;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C3;C3
45;45;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;12;0;experiment;NULL;PennController;11;_Trial_;Start;1615532232908;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C1;C1
46;46;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;12;0;experiment;NULL;Audio;one;play;0;1615532244026;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C1;C1
47;47;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;12;0;experiment;NULL;Audio;two;play;0;1615532247320;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C1;C1
48;48;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;12;0;experiment;NULL;Scale;judgement;Choice;two;1615532252598;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C1;C1
49;49;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;12;0;experiment;NULL;PennController;11;_Trial_;End;1615532253691;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1B;48;male;english;yes;NULL;8d81e2c5;control;C1;C1
50;50;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;11;0;experiment;NULL;PennController;10;_Trial_;Start;1615532253693;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;D2;P1
51;51;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;11;0;experiment;NULL;Audio;one;play;0;1615532266596;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;D2;P1
52;52;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;11;0;experiment;NULL;Audio;two;play;0;1615532269128;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;D2;P1
53;53;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;11;0;experiment;NULL;Scale;judgement;Choice;two;1615532271531;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;D2;P1
54;54;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;11;0;experiment;NULL;PennController;10;_Trial_;End;1615532272704;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1B;48;male;english;yes;NULL;8d81e2c5;nc;D2;P1
55;55;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;15;0;comments;NULL;PennController;2;_Trial_;Start;1615532272706;NULL;;;;NA;;;;;NA;;;
56;56;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;15;0;comments;NULL;TextInput;Comments;Final;I am sorry the instructions are a little confusing%2C I could not tell the differences in the statements.;1615532329741;NULL;;;;NA;;;;;NA;;;
57;57;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;15;0;comments;NULL;TextInput;Comments;First;;1615532276932;CapsLock;;;;NA;;;;;NA;;;
58;58;1615532330;c4b2ce6765724aa44b55fc5fafe8c243;PennController;15;0;comments;NULL;PennController;2;_Trial_;End;1615532329741;NULL;;;;NA;;;;;NA;;;
59;59;1615532330;4c0454162d2e6fc79adcbb5c908a42e2;PennController;3;0;intro;NULL;PennController;1;_Trial_;Start;1615532070577;NULL;;;;NA;;;;;NA;;;
60;60;1615532330;4c0454162d2e6fc79adcbb5c908a42e2;PennController;3;0;intro;NULL;PennController;1;_Trial_;End;1615532113891;NULL;;;;NA;;;;;NA;;;
