"Speaker_gender","talker","utt","PA_c","PA_nc","Dur_c","Dur_nc","F0_c","F0_nc"
"female","P1","A1",NA,"H*",NA,0.716280873,NA,227.4
"female","P1","A2","H*","H*",0.682194888,0.744271998,223.125,226.125
"female","P1","A3","H*","H*",0.568786212,0.587790427,238.888888888889,230.777777777778
"female","P1","D2","L+H*","H*",0.460639061,0.471979818,228.428571428571,201.142857142857
"female","P1","K2","L+H*","H*",0.371348499,0.484441899,232.714285714286,234.285714285714
"female","P1","K3","!H*","L*",0.364305966,0.293330517,216.571428571429,235.285714285714
"female","P1","N2","L*","H*",0.462181759,0.447147224,194.625,NA
"female","P14","A1","!H*","!H*",0.704524561,0.751292395,210.5,211.3
"female","P14","A2","H*",NA,0.756227671,NA,221.375,NA
"female","P14","A3","H*","H*",0.602411539,0.543285232,225.222222222222,208
"female","P14","D2","H*","H*",0.488112898,0.487199272,NA,218.571428571429
"female","P14","K2","H*","H*",0.423376479,0.48397532,212,211.571428571429
"female","P14","K3","L+H*","L+H*",0.359130111,0.377787783,222.571428571429,226.285714285714
"female","P14","N2",NA,"!H*",NA,0.369092448,NA,221.125
"female","P3","A1","!H*","!H*",0.767055656,0.777466174,204.2,226
"female","P3","A2","!H*","H*",0.794268393,0.856159303,201.125,227.25
"female","P3","A3",NA,"L*",NA,0.63371168,NA,224.888888888889
"female","P3","D2","H*","H*",0.489998118,0.48228142,180.285714285714,232.571428571429
"female","P3","K2","H*","!H*",0.481883439,0.42488114,242.428571428571,223.285714285714
"female","P3","K3",NA,"!H*",NA,0.388703087,NA,237
"female","P3","N2","H*",NA,0.35856391,NA,206.125,NA
"female","P4","A1","!H*","H*",0.764599217,0.756673465,198,217.6
"female","P4","A2","H*","L+H*",0.714779532,0.667860514,211.375,211.25
"female","P4","A3",NA,"H*",NA,0.56971434,NA,222.666666666667
"female","P4","D2","H*",NA,0.418475488,NA,185.857142857143,NA
"female","P4","K2","H*","L+H*",0.398557976,0.42031059,203,214.571428571429
"female","P4","K3","!H*","H*",0.344372116,0.446138083,187.857142857143,203.571428571429
"female","P4","N2","!H*","H*",0.39671981,0.410449687,187.375,198.125
"female","P6","A1","!H*","H*",0.79694127,0.772644936,248.1,257.8
"female","P6","A2",NA,"H*",NA,0.805098059,NA,261.375
"female","P6","A3","!H*","!H*",0.637637063,0.560809993,254.111111111111,259.555555555556
"female","P6","D2","H*","H*",0.50725408,0.524448677,243.857142857143,232.142857142857
"female","P6","K2",NA,"!H*",NA,0.4943424,NA,270.714285714286
"female","P6","N2","!H*","H*",0.230862682,0.268692733,237.5,232.875
"female","P9","A1","!H*",NA,0.769510778,NA,200.1,NA
"female","P9","D2","H*","L+H*",0.545511259,0.532213072,197.714285714286,214.857142857143
"female","P9","K2","L*",NA,0.444069894,NA,208.857142857143,NA
"female","P9","K3","L*","L+H*",0.336291765,0.472845635,190.714285714286,204.857142857143
"female","P9","N2",NA,"L+H*",NA,0.340609449,NA,NA
"male","P11","A1",NA,"H*",NA,0.78447823,NA,116.9
"male","P11","A2","H+!H*","H+!H*",0.749410122,0.696403178,122.875,109.25
"male","P11","A3",NA,"!H*",NA,0.591345278,NA,114.111111111111
"male","P11","D2","!H*","H+!H*",0.414085476,0.488810118,NA,122.142857142857
"male","P11","K2","H+!H*","!H*",0.479613409,0.424081855,106.142857142857,98.2857142857143
"male","P11","K3","L*","H*",0.387649462,0.405799782,105.857142857143,106.857142857143
"male","P12","A1","!H*","H*",0.748335348,0.702024712,148.7,145.3
"male","P12","A2","H*","H*",0.710898045,0.752740631,147.5,148.25
"male","P12","A3",NA,"H*",NA,0.562771962,NA,144
"male","P12","D2","H*","H*",0.413282607,0.483058485,152.142857142857,143.142857142857
"male","P12","K2",NA,"!H*",NA,0.461728553,NA,145.142857142857
"male","P12","K3","H*","H*",0.369107008,0.351577955,138.857142857143,134.142857142857
"male","P12","N2","H*","!H*",0.393340278,0.393307629,147.25,150.5
"male","P13","A1",NA,"!H*",NA,0.737089629,NA,98.1
"male","P13","A3",NA,"H*",NA,0.530183339,NA,88.3333333333333
"male","P13","D2",NA,"L+H*",NA,0.476219814,NA,NA
"male","P13","K2",NA,"!H*",NA,0.422583392,NA,100.857142857143
"male","P13","K3","L*","H*",0.301643517,0.372532556,NA,85.8571428571429
"male","P13","N2",NA,"L*",NA,0.321017912,NA,89.625
"male","P5","A1","!H*",NA,0.832961075,NA,222.5,NA
"male","P5","A2",NA,"L+H*",NA,0.732185399,NA,211.875
"male","P5","A3","H+!H*","H+!H*",0.647494208,0.58725715,205.222222222222,249.222222222222
"male","P5","D2","H+!H*","H+!H*",0.451499971,0.438369618,218.857142857143,241.428571428571
"male","P5","K2",NA,"H+!H*",NA,0.449444722,NA,209.428571428571
"male","P5","K3",NA,"H+!H*",NA,0.384621234,NA,212.571428571429
"male","P5","N2",NA,"H*",NA,0.332804656,NA,234.125
"male","P8","A1","H*","H*",0.767947955,0.744873989,97.4,109
"male","P8","A2","H*","H*",0.76764874,0.764114733,114.875,100.75
"male","P8","A3","H*","L+H*",0.511638846,0.561929313,103.666666666667,99.1111111111111
"male","P8","D2","L*","L+H*",0.454668663,0.46212999,95.2857142857143,100
"male","P8","K2","L*","L*",0.413370165,0.469718526,107.285714285714,102.285714285714
"male","P8","K3",NA,"H*",NA,0.413259103,NA,100.714285714286
